Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Passira,2610509,passirense,SEVERINO SILVESTRE DE ALBUQUERQUE,327.210,28340,86.61,29744,98.83,0.592,18.13,149998804.41,134316430.66,9167.82,
Paudalho,2610608,paudalhense,PAULA FRASSINETTE WANDERLEY MARINHO,269.651,56665,210.14,59924,97.69,0.639,11.17,296667105.59,289229606.41,16153.32,
Paulista,2610707,paulistense,SEVERINO RAMOS DE SANTANA,96.932,342167,3529.97,365144,98.56,0.732,17.49,915910828.39,961288452.64,16596.43,
Pedra,2610806,pedrense,GILBERTO J&Uacute;NIOR WANDERLEY VAZ,922.481,22795,24.71,23671,99.02,0.567,24.05,116783449.32,105574687.81,13488.22,
Pesqueira,2610905,pesqueirense,MARCOS LUIDSON DE ARA&Uacute;JO,970.439,62722,65.33,65481,97.19,0.610,9.31,281305769.09,256768295.24,12776.4,
Petrol&acirc;ndia,2611002,petrolandense,FABIANO JAQUES MARQUES,1056.589,34161,32.33,36104,98.72,0.623,14.23,236013940.77,207616947.45,44994.8,
Petrolina,2611101,petrolinense,SIM&Atilde;O AMORIM DURANDO FILHO,4561.870,386791,84.79,418444,98.29,0.697,14.28,1693739255.63,1640615205.35,22244.46,
Po&ccedil;&atilde;o,2611200,po&ccedil;&atilde;oense,JOAO GUILHERME VASCONCELOS DE SOUSA,205.119,10500,51.19,10792,98.13,0.528,22.9,68446558.62,57964245.07,9029.63,
Pombos,2611309,pomboense,ELIAS BATISTA DE LIMA,203.105,27552,114.88,26942,98.45,0.598,9.74,134926381.08,118649021.34,19577.38,
Primavera,2611408,primaverense,JEYSON CAVALCANTI DE ALMEIDA FALC&Atilde;O,113.563,13838,122.31,14380,99.72,0.580,7.09,73314605.91,64717166.57,19151.45,
Quipap&aacute;,2611507,quipapaense,GENIVALDO TEMOTEO BEZERRA,230.617,17928,77.74,17731,100,0.552,13.64,100302977.47,97896776.99,7310.24,
Quixaba,2611533,quixabense,JOSE PEREIRA NUNES,210.705,6554,31.11,6753,100,0.577,-,63193656.36,57124716.56,9868.19,
Recife,2611606,recifense,JO&Atilde;O HENRIQUE DE ANDRADE LIMA CAMPOS,218.843,1488920,6803.60,1588376,97.57,0.772,12.32,9506737206.76,9424050396.32,33094.37,
Riacho das Almas,2611705,riachense,DIOCLECIO ROSENDO DE LIMA FILHO,313.613,20639,65.73,21490,99.53,0.570,7.04,130143091.55,111324461.55,12560.89,
Ribeir&atilde;o,2611804,ribeir&atilde;oense,ANA CAROLINA COELHO JORD&Atilde;O,289.566,33507,115.71,33843,98.41,0.602,10.13,183278146.83,187801121.26,12055.44,
Rio Formoso,2611903,rio-formosense,GUTEMBERG ALEXANDRE RODRIGUES DA SILVA,227.458,20009,87.97,20388,99.59,0.613,16.72,129629386.92,119049657.88,16015.49,
Sair&eacute;,2612000,saireense,GILDO PONTES DE ARRUDA,190.455,10887,57.16,11213,97.21,0.585,-,75250823.46,61729566.53,18356.8,
Salgadinho,2612109,salgadinense,JEOSADAQUE BARBOSA SALGADO,87.217,5727,65.66,5478,99.13,0.534,17.86,48695104.21,47957557.94,7217.62,
Salgueiro,2612208,salgueirense,F&Aacute;BIO LISANDRO DE LIMA BARROS,1678.564,62372,37.16,65946,99.03,0.669,17.47,287164938.29,266989153.71,16278.25,
Salo&aacute;,2612307,saloaense,RIVALDO ALVES DE SOUZA JUNIOR,251.550,13836,55.00,14125,99.26,0.559,18.63,96781252.02,93736904.18,10771.47,
Sanhar&oacute;,2612406,sanharoense,C&Eacute;SAR AUGUSTO DE FREITAS,268.065,18624,69.48,18812,99.48,0.603,7.52,119255610.86,110561339.31,9091.27,
Santa Cruz,2612455,santacruzense,ADEGILDO GUIMARAES SOARES,1245.983,13841,11.11,14342,99.37,0.549,13.95,105359814.53,99054164.44,8501.98,
Santa Cruz da Baixa Verde,2612471,santacruzense,ISMAEL QUINTINO LEITE DE SOUSA,114.931,11567,100.64,11934,92.2,0.612,-,72868781.91,74809699.1,8935.61,
Santa Cruz do Capibaribe,2612505,santa-cruzense,HELIO LIMA ARAGAO FILHO,335.309,98254,293.03,104854,98.18,0.648,19.08,469714600.43,423796083.21,17222.96,
Santa Filomena,2612554,filomense,PEDRO GILDEVAN COELHO MELO,1005.341,12106,12.04,12360,97.63,0.533,6.1,77210279.78,67464273.21,7636.03,
